"","taxon_scientific_name","assessment_id","red_list_category_code","criteria","AOO","EOO","popSize","NumLocationsExtant","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"78","Gryllapterus tomentosus",2600985,"CR","B1ab(i,ii,iii)+2ab(i,ii,iii)","5","5",NA,2,4,5,1,9,180,78,180,NA
"79","Theganopteryx grisea",2601114,"CR","B1ab(i,ii)+2ab(i,ii)","5","5",NA,2,4,5,1,9,180,79,180,NA
"80","Coptottigia cristata",2601375,"CR","B1ab(i,ii,iii)","10","10",NA,2,4,5,1,9,180,80,180,NA
"81","Glyptotermes scotti",2601737,"CR","B1ab(i,ii,iii)","10","10",NA,2,4,5,1,9,180,81,180,NA
"82","Carausius scotti",2603274,"CR","B1ab(i,ii,iii)","10","18",NA,2,4,5,1,9,180,82,180,NA
"83","Dicrogonatus niger",2706709,"CR","B1ab(iii)+2ab(iii)","5","5",NA,2,4,5,1,9,180,83,180,NA
"84","Michaelothyrus seychellensis",2706723,"CR","B1ab(iii)+2ab(iii)","5","5",NA,2,4,5,1,9,180,84,180,NA
"85","Rhinotus albifrons",2706737,"CR","B1ab(iii)+2ab(iii)","5","5",NA,2,4,5,1,9,180,85,180,NA
"86","Spirobolellus simplex",2706758,"CR","B1ab(iii)","50","50",NA,2,4,5,1,9,180,86,180,NA
"87","Eucarlia mauriesi",2706779,"CR","B1ab(iii)+2ab(iii)","5","5",NA,2,4,5,1,9,180,87,180,NA
"88","Sechelleptus unilineatus",2706814,"CR","B1ab(iii)+2ab(iii)","5","20",NA,2,4,5,1,9,180,88,180,NA
"89","Pachnodus oxoniensis",6454126,"CR","B1ab(iii)+2ab(iii)","3","3","423000",2,4,5,1,9,180,89,180,NA
"90","Dupontia levensonia",6455139,"CR","B1ab(iii)+2ab(iii)","2","2","1200",2,4,5,1,9,180,90,180,NA
"91","Priodiscus spinosus",6460213,"CR","B1ab(iii)+2ab(iii)","2","2","64700",2,4,5,1,9,180,91,180,NA
"92","Kaliella aldabra",6462127,"EN","B2ab(iii)","1","150",NA,2,2,5,2,9,180,92,90,NA
"93","Canthium sechellense",8649656,"EN","B1ab(iii,v)+2ab(iii,v)","71","71","2000-2500",2,2,5,2,9,180,93,90,NA
"94","Secamone schimperiana",8843851,"EN","B1ab(iii)+2ab(iii)","50-100","50-100","600-1200",2,2,5,2,9,180,94,90,NA
"95","Trichomanes fulgens",9115588,"CR","B1ab(iii)+2ab(iii)","1","1",NA,2,4,5,1,9,180,95,180,NA
"96","Glionnetia sericea",9792468,"EN","B1ab(iii)+2ab(iii)","55","55",NA,2,2,5,2,9,180,96,90,NA
"97","Lodoicea maldivica",10136618,"EN","B1ab(ii,iii,v)+2ab(ii,iii,v)",NA,"50-100","8282",2,2,5,2,9,180,97,90,NA
"98","Praslinia cooperi",20480391,"EN","B1ab(iii)",NA,"44",NA,1,2,10,1,9,180,98,180,NA
"99","Biantes parvulus",21513969,"CR","B2ab(iii)","5","600",NA,2,4,5,1,9,180,99,180,NA
"100","Holozoster ovalis",21576396,"CR","B1ab(iii)","20","20",NA,2,4,5,1,9,180,100,180,NA
"101","Ibalonius lomani",21579662,"CR","B1ab(iii)+2ab(iii)","5","5",NA,2,4,5,1,9,180,101,180,NA
"102","Sitalcicus incertus",21579782,"CR","B1ab(iii)+2ab(iii)","5","5",NA,2,4,5,1,9,180,102,180,NA
"103","Benoitinus elegans",21579788,"CR","B2ab(iii)","5","500",NA,2,4,5,1,9,180,103,180,NA
"104","Mitraceras crassipalpum",21579794,"CR","B1ab(iii)+2ab(iii)","5","5",NA,2,4,5,1,9,180,104,180,NA
"105","Gynacantha stylata",119049670,"CR","B1ab(i,ii,iii)+2ab(i,ii,iii)","4","4",NA,2,4,5,1,9,180,105,180,NA
"106","Hypogeophis brevis",125192602,"EN","B1ab(iii)",NA,"15",NA,1,2,10,1,9,180,106,180,NA
"107","Costularia xipholepis",130617732,"EN","B1ab(iii)+2ab(iii)","0.032","5.971",NA,1,2,10,1,9,180,107,180,NA
"108","Afrolychas braueri",211822304,"CR","B2ab(iii)","5","600",NA,2,4,5,1,9,180,108,180,NA
"109","Vateriopsis seychellarum",215143918,"CR","B1ab(iii)","44","47","132",2,4,5,1,9,180,109,180,NA
"110","Astropanax procumbens",274385828,"CR","B1ab(iii)+2ab(iii)","5-10","20",NA,2,4,5,1,9,180,110,180,NA
"111","Canthium carinatum",8649419,"VU","A2ac; D2","109","109","2000-2500",2,1,5,4,7,140,111,35,NA
"112","Martellidendron hornei",9555288,"VU","A2c; D2",NA,NA,"2500-10000",2,1,5,4,7,140,112,35,NA
"113","Microbianor golovatchi",2443185,"EN","B1ab(iii)+2ab(iii)","10","100",NA,1,2,10,1,6,120,113,120,NA
"114","Eucarlia hoffmani",2706786,"EN","B1ab(iii)+2ab(iii)","10","100",NA,1,2,10,1,6,120,114,120,NA
"115","Archaius tigris",54013047,"EN","B1ab(ii,iii)+2ab(ii,iii)","45","1190",NA,1,2,10,1,6,120,115,120,NA
"116","Lycognathophis seychellensis",179808427,"EN","B1ab(iii)+2ab(iii)","133","2507",NA,1,2,10,1,6,120,116,120,NA
"117","Foudia aldabrana",180471815,"EN","B1ab(iii)",NA,"390","2000-6000",1,2,10,1,6,120,117,120,NA
"118","Northia seychellana",220072797,"VU","B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)","152","1924",NA,1,1,10,2,6,120,118,60,NA
"119","Prida sechellensis",2443017,"EN","B1ab(iii,v)+2ab(iii,v)","50","500",NA,2,2,5,2,5,100,119,50,NA
"120","Pterozonium tropiphorum",2475474,"EN","B1ab(iii,v)+2ab(iii,v)","20","800",NA,2,2,5,2,5,100,120,50,NA
"121","Theganopteryx minuta",2598537,"EN","B1ab(i,ii,iv)+2ab(i,ii,iv)","178","900",NA,2,2,5,2,5,100,121,50,NA
"122","Seselphisis visenda",2599974,"EN","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)","183","920",NA,2,2,5,2,5,100,122,50,NA
"123","Rhinotus vanmoli",2706751,"EN","B1ab(iii)+2ab(iii)","10","300",NA,2,2,5,2,5,100,123,50,NA
"124","Cyathopoma picardense",6447793,"EN","B2ab(iii)","150","150",NA,2,2,5,2,5,100,124,50,NA
"125","Tropidophora gardineri",6448405,"EN","B2ab(iii)","150","150",NA,2,2,5,2,5,100,125,50,NA
"126","Hederorkis seychellensis",8857229,"EN","B1ab(i,iii,v)+2ab(i,iii,v)","10","1000",NA,2,2,5,2,5,100,126,50,NA
"127","Colea seychellarum",9552712,"EN","B1ab(iii,v)+2ab(iii,v)","100","100","9000-10000",2,2,5,2,5,100,127,50,NA
"128","Pandanus balfourii",9554877,"VU","A2c",NA,NA,NA,2,1,5,4,5,100,128,25,NA
"129","Polyscias lionnetii",9792724,"CR","D",NA,"0.42","2-5",2,4,5,0.5,10,100,129,200,NA
"130","Ibalonius inscriptus",21577993,"EN","B1ab(iii)+2ab(iii)","50","500",NA,2,2,5,2,5,100,130,50,NA
"131","Psychotria silhouettae",129992581,"CR","D","4","4","38",2,4,5,0.5,10,100,131,200,NA
"132","Craterispermum microdon",183108770,"EN","B1ab(iii,v)+2ab(iii,v); C2a(i)",NA,NA,"2000-2500",2,2,5,2,5,100,132,50,NA
"133","Idioctis intertidalis",2442716,"CR","B2ab(iii)","3","50000",NA,4,4,2.5,1,9,90,133,90,NA
"134","Ischnothyreus serpentinum",2442891,"EN","B1ab(iii)+2ab(iii)","10","10",NA,2,2,5,1,9,90,134,90,NA
"135","Lionneta silhouettei",2442940,"EN","B1ab(iii)+2ab(iii)","10","10",NA,2,2,5,1,9,90,135,90,NA
"136","Lionneta veli",2442947,"EN","B1ab(iii)+2ab(iii)","5","100",NA,2,2,5,1,9,90,136,90,NA
"137","Cenemus silhouette",2443080,"EN","B1ab(iii)+2ab(iii)","15","20",NA,2,2,5,1,9,90,137,90,NA
"138","Baviola luteosignata",2443108,"EN","B1ab(iii)+2ab(iii)","5","300",NA,2,2,5,1,9,90,138,90,NA
"139","Salpesia soricina",2443241,"EN","B1ab(iii)+2ab(iii)","15","20",NA,2,2,5,1,9,90,139,90,NA
"140","Scytodes pholcoides",2443248,"EN","B1ab(iii)+2ab(iii)","1","300",NA,2,2,5,1,9,90,140,90,NA
"141","Anatemnus seychellesensis",2458966,"EN","B1ab(iii)+2ab(iii)","20","20",NA,2,2,5,1,9,90,141,90,NA
"142","Anepsiozomus sobrinus",2458987,"EN","B1ab(iii)+2ab(iii)","0.8","100",NA,2,2,5,1,9,90,142,90,NA
"143","Apozomus gerlachi",2475257,"EN","B1ab(iii)+2ab(iii)","20","50",NA,2,2,5,1,9,90,143,90,NA
"144","Gonatotrichus silhouettensis",2475467,"EN","B1ab(iii)+2ab(iii)","10","20",NA,2,2,5,1,9,90,144,90,NA
"145","Hololeptoblatta minor",2593960,"EN","B1ab(i,ii)+2ab(i,ii)","50","50",NA,2,2,5,1,9,90,145,90,NA
"146","Miriamrothschildia biplagiata",2594451,"EN","B1ab(iii)+2ab(iii)","300","86",NA,2,2,5,1,9,90,146,90,NA
"147","Anisolabis scotti",2601246,"EN","B1ab(i,ii,iii)+2ab(i,ii,iii)","5","300",NA,2,2,5,1,9,90,147,90,NA
"148","Mecistocephalus megalodon",2706138,"EN","B1ab(iii)+2ab(iii)","1","100",NA,2,2,5,1,9,90,148,90,NA
"149","Rhinotus densepilosus",2706744,"EN","B1ab(iii)+2ab(iii)","5","200",NA,2,2,5,1,9,90,149,90,NA
"150","Imperturbatia violescens",3218516,"EN","B1ab(iii)+2ab(iii)","6","70","23500",2,2,5,1,9,90,150,90,NA
"151","Moominia willii",6449734,"EN","B1ab(iii)+2ab(iii)",".02","5","5000",2,2,5,1,9,90,151,90,NA
"152","Stylodonta studeriana",6450150,"EN","B1ab(iii)+2ab(iii)","12","12","12000",2,2,5,1,9,90,152,90,NA
"153","Pachnodus ornatus",6452090,"EN","B1ab(iii)+2ab(iii)","12","15","101000",2,2,5,1,9,90,153,90,NA
"154","Pachnodus kantilali",6452502,"EN","B1ab(iii)+2ab(iii)","15","15","545000",2,2,5,1,9,90,154,90,NA
"155","Pachnodus becketti",6452824,"EN","B1ab(iii)+2ab(iii)","6","10","50500",2,2,5,1,9,90,155,90,NA
"156","Pachnodus niger",6453496,"EN","B1ab(iii)+2ab(iii)","8","300","8000",2,2,5,1,9,90,156,90,NA
"157","Pilula mahesiana",6456011,"EN","B1ab(iii)+2ab(iii)","7","300","3200",2,2,5,1,9,90,157,90,NA
"158","Edentulina moreleti",6459016,"EN","B1ab(iii)+2ab(iii)","4","5","84000",2,2,5,1,9,90,158,90,NA
"159","Imperturbatia constans",6460021,"EN","B1ab(iii)+2ab(iii)","20","60","527400",2,2,5,1,9,90,159,90,NA
"160","Achyrospermum seychellarum",8856100,"EN","B1ab(iii)+2ab(iii)","1","5","650-700",2,2,5,1,9,90,160,90,NA
"161","Hypoxidia maheensis",8859866,"EN","B1ab(iii)+2ab(iii)","10","50",NA,2,2,5,1,9,90,161,90,NA
"162","Ibalonius karschii",21579656,"EN","B1ab(iii)+2ab(iii)","5","300",NA,2,2,5,1,9,90,162,90,NA
