"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"446",NA,"Nymphaea stuhlmannii","TRACHEOPHYTA","MAGNOLIOPSIDA","NYMPHAEALES","NYMPHAEACEAE",248552468,2023-11-10,"EN","3.1","B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)","B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",1,"Decreasing","Yes","Yes","Yes","Yes","Yes",NA,NA,"12","4094",NA,"3",2,10,2,4,160,374,80,NA
"447",NA,"Coffea bridsoniae","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE",758459,2015-06-16,"EN","3.1","B1ab(i,ii,iii)+2ab(i,ii,iii)","B1ab(i,ii,iii)+2ab(i,ii,iii)",1,"Unknown",NA,"Yes",NA,"Yes","Yes",NA,"Yes","20","164",NA,"3",2,10,1,7,140,447,140,NA
"448",NA,"Solanecio epidendricus","TRACHEOPHYTA","MAGNOLIOPSIDA","ASTERALES","ASTERACEAE",762793,2006-11-02,"EN","3.1","B2ab(iii)","B2ab(iii)",1,"Unknown",NA,"Yes",NA,NA,NA,NA,"Yes","20","13903",NA,"5",2,10,1,7,140,447,140,NA
"449","Magombera Chameleon","Kinyongia magomberae","CHORDATA","REPTILIA","SQUAMATA","CHAMAELEONIDAE",1344662,2013-08-22,"EN","3.1","B1ab(i,ii,iii)+2ab(i,ii,iii)","B1ab(i,ii,iii)+2ab(i,ii,iii)",1,"Unknown","Unknown","Yes","No","Yes","Yes","Unknown","Yes","105","370",NA,"2",2,10,1,7,140,447,140,NA
"450",NA,"Eriocaulon strictum","TRACHEOPHYTA","LILIOPSIDA","POALES","ERIOCAULACEAE",1576572,2009-05-13,"EN","3.1","B2ab(iii)","B2ab(iii)",1,"Unknown",NA,"Yes",NA,NA,NA,NA,"Yes","8-19.9712",NA,NA,"2",2,10,1,7,140,447,140,NA
"451",NA,"Rhipidoglossum stellatum","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",1577740,2013-03-23,"EN","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)",1,"Unknown",NA,"Yes",NA,NA,NA,NA,"Yes","16-40","2085",NA,"3-4",2,10,1,7,140,447,140,NA
"452",NA,"Polystachya serpentina","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",1581714,2013-03-25,"EN","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)",1,"Unknown",NA,"Yes",NA,NA,NA,NA,"Yes","19.9","0-5000",NA,"2",2,10,1,7,140,447,140,NA
"453",NA,"Polystachya pudorina","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",1584712,2013-03-25,"EN","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)",1,"Unknown",NA,"Yes",NA,NA,NA,NA,"Yes","19.9","0-5000",NA,"2",2,10,1,7,140,447,140,NA
"454",NA,"Polystachya xerophila","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",1588481,2013-03-25,"EN","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)",1,"Unknown",NA,"Yes",NA,NA,NA,NA,"Yes","19.9","0-5000",NA,"2",2,10,1,7,140,447,140,NA
"455",NA,"Polystachya shega","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",1591305,2013-03-25,"EN","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)",1,"Unknown",NA,"Yes",NA,NA,NA,NA,"Yes","19.9","0-5000",NA,"2",2,10,1,7,140,447,140,NA
"456",NA,"Polystachya praecipitis","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",1592028,2013-03-25,"EN","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)",1,"Unknown",NA,"Yes",NA,NA,NA,NA,"Yes","19.9","0-5000",NA,"2",2,10,1,7,140,447,140,NA
"457",NA,"Coffea costatifructa","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE",2866028,2015-06-18,"EN","3.1","B2ab(iii)","B2ab(iii)",1,"Unknown",NA,"Yes",NA,"Yes","Yes","Yes","Yes","12","9650",NA,"2",2,10,1,7,140,447,140,NA
"458",NA,"Artabotrys rupestris","TRACHEOPHYTA","MAGNOLIOPSIDA","MAGNOLIALES","ANNONACEAE",5194354,2006-03-02,"EN","3.1","B1ab(iii)","B1ab(iii)",1,"Unknown",NA,"Yes",NA,NA,NA,NA,"Yes","30","1700",NA,"3",2,10,1,7,140,447,140,NA
"459",NA,"Potamonautes infravallatus","ARTHROPODA","MALACOSTRACA","DECAPODA","POTAMONAUTIDAE",10914367,2008-01-01,"VU","3.1","B1ab(i); D2","B1ab(i); D2",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",1,10,2,7,140,447,70,NA
"460","Lake Rukwa Sardine","Chelaethiops rukwaensis","CHORDATA","ACTINOPTERYGII","CYPRINIFORMES","DANIONIDAE",12368153,2006-01-31,"VU","3.1","D2","D2",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,2,7,140,447,70,NA
"461","Lake Rukwa Tilapia","Oreochromis rukwaensis","CHORDATA","ACTINOPTERYGII","CICHLIFORMES","CICHLIDAE",12389114,2006-01-31,"VU","3.1","D2","D2",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,2,7,140,447,70,NA
"462",NA,"Hyperolius kihangensis","CHORDATA","AMPHIBIA","ANURA","HYPEROLIIDAE",16951518,2015-10-02,"EN","3.1","B1ab(iii)","B1ab(iii)",1,"Unknown",NA,"Yes",NA,NA,NA,NA,"Yes",NA,"171.25",NA,"1-4",2,10,1,7,140,447,140,NA
