"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","focalCountryPresence","focalCountryOrigin","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"162",NA,"Deinbollia onanae","TRACHEOPHYTA","MAGNOLIOPSIDA","SAPINDALES","SAPINDACEAE",200535013,2021-04-09,"EN","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",2,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"28","51285",NA,"6",2,5,1,3,30,128,30,NA
"163","Death Tree","Okoubaka aubrevillei","TRACHEOPHYTA","MAGNOLIOPSIDA","SANTALALES","SANTALACEAE",71022977,2015-03-04,"EN","3.1","C2a(i)","C2a(i)","Extant","Native",10,"Decreasing","Yes",NA,NA,NA,NA,"Yes",NA,NA,NA,"100-2500, 250",NA,2,1,2,7,28,163,14,NA
"164","Ilenabulere","Vigna desmodioides","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE",1313658,2019-07-31,"EN","3.1","B2ab(iii,v)","B2ab(iii,v)","Extant","Native",6,"Decreasing","Yes","Yes",NA,"Unknown","Unknown",NA,"Yes","56","2491855","5000","50",2,1.66666666666667,2,4,26.6666666666667,164,13.3333333333333,NA
"165","Four-digit Toad","Didynamipus sjostedti","CHORDATA","AMPHIBIA","ANURA","BUFONIDAE",16272990,2016-07-08,"VU","3.1","B1ab(iii)","B1ab(iii)","Extant","Native",3,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"12743",NA,"5",1,3.33333333333333,2,4,26.6666666666667,164,13.3333333333333,NA
"166",NA,"Cnestis macrophylla","TRACHEOPHYTA","MAGNOLIOPSIDA","OXALIDALES","CONNARACEAE",110080415,2020-03-11,"EN","3.1","B2ab(ii,iii)","B2ab(ii,iii)","Extant","Native",3,"Unknown",NA,"Yes",NA,NA,"Yes",NA,NA,"16","218106",NA,"4",2,3.33333333333333,1,4,26.6666666666667,164,26.6666666666667,NA
"167",NA,"Chlorophytum staudtii","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ASPARAGACEAE",110095844,2020-10-21,"EN","3.1","B2ab(ii,iii)","B2ab(ii,iii)","Extant","Native",3,"Unknown",NA,"Yes",NA,NA,"Yes",NA,NA,"36","718137",NA,"5",2,3.33333333333333,1,4,26.6666666666667,164,26.6666666666667,NA
"168",NA,"Mormyrops oudoti","CHORDATA","ACTINOPTERYGII","OSTEOGLOSSIFORMES","MORMYRIDAE",135008386,2019-10-23,"EN","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",3,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"16-500","579174",NA,"4",2,3.33333333333333,1,4,26.6666666666667,164,26.6666666666667,NA
"169",NA,"Vepris adamaouae","TRACHEOPHYTA","MAGNOLIOPSIDA","SAPINDALES","RUTACEAE",190322551,2020-11-20,"EN","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",3,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"28","30499",NA,"5",2,3.33333333333333,1,4,26.6666666666667,164,26.6666666666667,NA
"170",NA,"Scaphopetalum talbotii","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","MALVACEAE",242557424,2023-10-10,"EN","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",3,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"24","9905",NA,"4",2,3.33333333333333,1,4,26.6666666666667,164,26.6666666666667,NA
"171","Krokiri-ikpokpo","Enteromius sylvaticus","CHORDATA","ACTINOPTERYGII","CYPRINIFORMES","CYPRINIDAE",134933920,2019-05-03,"VU","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",2,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"48-1000,1000","28432",NA,"2",1,5,1,5,25,171,25,NA
