"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","focalCountryPresence","focalCountryOrigin","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"26",NA,"Conophytum chrisocruxum","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","AIZOACEAE",202851288,2021-11-17,"CR","3.1","A4d; B1ab(v)+2ab(v)","A4d; B1ab(v)+2ab(v)","Extant","Native",1,"Decreasing","Yes","No",NA,NA,NA,NA,"Yes","4","4","300-500","1",4,10,10,9,3600,5,400,NA
"27",NA,"Conophytum carpianum","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","AIZOACEAE",202851319,2021-11-16,"CR","3.1","A3d","A3d","Extant","Native",1,"Unknown","Unknown","Yes",NA,NA,"Unknown",NA,"Yes","20","20","1500-2000","2",4,10,10,9,3600,5,400,NA
"28",NA,"Conophytum burgeri","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","AIZOACEAE",202851350,2021-11-16,"CR","3.1","A4d; B1ab(iii,v)+2ab(iii,v)","A4d; B1ab(iii,v)+2ab(iii,v)","Extant","Native",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes","4","4","750-1000","1",4,10,10,9,3600,5,400,NA
"29",NA,"Conophytum bruynsii","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","AIZOACEAE",202851362,2021-11-16,"CR","3.1","A4d; B1ab(iii,v)+2ab(iii,v)","A4d; B1ab(iii,v)+2ab(iii,v)","Extant","Native",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes","4","4","6000-8000","1",4,10,10,9,3600,5,400,NA
"30",NA,"Conophytum brunneum","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","AIZOACEAE",202851377,2021-11-16,"CR","3.1","A4d; B1ab(iii,v)","A4d; B1ab(iii,v)","Extant","Native",1,"Decreasing","Yes","Yes",NA,NA,NA,"Unknown","Yes","16","16","4000-6000","1-2",4,10,10,9,3600,5,400,NA
"31",NA,"Conophytum achabense","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","AIZOACEAE",202851414,2021-11-08,"CR","3.1","A4acd; B1ab(iii,v)+2ab(iii,v)","A4acd; B1ab(iii,v)+2ab(iii,v)","Extant","Native",1,"Decreasing","Yes","Yes",NA,NA,NA,"No","Yes","4","4","20000-50000","1",4,10,10,9,3600,5,400,NA
"32",NA,"Conophytum acutum","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","AIZOACEAE",202851425,2021-11-08,"CR","3.1","A4acd; B1ab(iii,v)","A4acd; B1ab(iii,v)","Extant","Native",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes","12","12","2500-7500,5000","1",4,10,10,9,3600,5,400,NA
"33",NA,"Conophytum antonii","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","AIZOACEAE",202851471,2021-11-08,"CR","3.1","A3d; B1ab(iii)+2ab(iii)","A3d; B1ab(iii)+2ab(iii)","Extant","Native",1,"Unknown","No","Yes",NA,NA,NA,NA,NA,"4","4","750-1000","1",4,10,10,9,3600,5,400,NA
"34",NA,"Conophytum bachelorum","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","AIZOACEAE",202851503,2021-11-18,"CR","3.1","A4ad; B1ab(v)+2ab(v)","A4ad; B1ab(v)+2ab(v)","Extant","Native",1,"Decreasing","Yes","No",NA,NA,NA,NA,"Yes","4","4","100","1",4,10,10,9,3600,5,400,NA
"35",NA,"Conophytum danielii","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","AIZOACEAE",202851544,2021-11-22,"CR","3.1","A3d","A3d","Extant","Native",1,"Unknown","Unknown","No",NA,NA,NA,NA,"Yes","4","4","250-300","1",4,10,10,9,3600,5,400,NA
"36",NA,"Conophytum hanae","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","AIZOACEAE",202851626,2021-11-29,"CR","3.1","A3d","A3d","Extant","Native",1,"Unknown","Unknown","No",NA,NA,NA,NA,"Yes","4","4","1000-2500","1",4,10,10,9,3600,5,400,NA
"37",NA,"Conophytum hermarium","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","AIZOACEAE",202851636,2021-11-25,"CR","3.1","A3d","A3d","Extant","Native",1,"Unknown","Unknown","Yes",NA,NA,NA,NA,"Yes","16","19","2500-4000","2",4,10,10,9,3600,5,400,NA
"38",NA,"Conophytum hyracis","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","AIZOACEAE",202851646,2021-11-25,"CR","3.1","A3d","A3d","Extant","Native",1,"Decreasing","Yes","No",NA,NA,NA,NA,"Yes","4","4","1000-1500,1300","1",4,10,10,9,3600,5,400,NA
"39",NA,"Conophytum velutinum","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","AIZOACEAE",202872467,2021-12-10,"CR","3.1","A3cd","A3cd","Extant","Native",1,"Unknown","Unknown","No",NA,NA,NA,NA,"Yes","24","24","10000-15000","3",4,10,10,9,3600,5,400,NA
