"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","focalCountryPresence","focalCountryOrigin","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"996",NA,"Miconia elvirae","TRACHEOPHYTA","MAGNOLIOPSIDA","MYRTALES","MELASTOMATACEAE",206226685,2021-11-25,"EN","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",2,"Decreasing",NA,"Yes","Unknown","Unknown","Unknown",NA,NA,"48","7217",NA,"4",2,5,2,4,80,835,40,NA
"997",NA,"Miconia limitaris","TRACHEOPHYTA","MAGNOLIOPSIDA","MYRTALES","MELASTOMATACEAE",206226700,2021-11-26,"EN","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",2,"Decreasing",NA,"Yes","Unknown","Unknown","Unknown",NA,"Yes","24","172",NA,"4",2,5,2,4,80,835,40,NA
"998","Arrayán","Myrcianthes borealis","TRACHEOPHYTA","MAGNOLIOPSIDA","MYRTALES","MYRTACEAE",206226790,2022-04-04,"EN","3.1","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)","Extant","Native",2,"Unknown",NA,"Yes","Yes","Yes","Yes",NA,"Yes","20","2197",NA,"4-10",2,5,2,4,80,835,40,NA
"999",NA,"Croizatia naiguatensis","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","PHYLLANTHACEAE",206226905,2022-02-07,"EN","3.1","B2ab(ii,iii)","B2ab(ii,iii)","Extant","Native",2,"Decreasing",NA,"Yes","Unknown","Unknown","Yes",NA,"Yes","16","35685",NA,"4",2,5,2,4,80,835,40,NA
"1000",NA,"Piper san-vicentense","TRACHEOPHYTA","MAGNOLIOPSIDA","PIPERALES","PIPERACEAE",206226925,2022-02-08,"EN","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",2,"Decreasing","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","16","28716",NA,"4",2,5,2,4,80,835,40,NA
"1001","Volador","Ruprechtia carina","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","POLYGONACEAE",206226955,2022-03-11,"EN","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",2,"Decreasing","Unknown","Yes","Unknown","Unknown",NA,"Unknown","Unknown","16","5125",NA,"5",2,5,2,4,80,835,40,NA
"1002",NA,"Arachnothryx calycophylla","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE",206227045,2022-04-15,"EN","3.1","B2ab(i,ii,iv)","B2ab(i,ii,iv)","Extant","Native",2,"Decreasing",NA,NA,"Yes","Yes","Yes",NA,"Yes","16","51654",NA,"4",2,5,2,4,80,835,40,NA
"1003","Macurutú","Muellera broadwayi","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE",206388074,2022-02-06,"EN","3.1","B2ab(i,ii,iii,iv)","B2ab(i,ii,iii,iv)","Extant","Native",2,"Unknown",NA,"Yes","Yes","Yes","Yes",NA,"No","24","47583",NA,"5",2,5,2,4,80,835,40,NA
"1004",NA,"Cremastosperma chococola","TRACHEOPHYTA","MAGNOLIOPSIDA","MAGNOLIALES","ANNONACEAE",207751731,2018-08-14,"EN","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"12-500","705",NA,"3",2,10,1,4,80,835,80,NA
"1005",NA,"Cremastosperma antioquense","TRACHEOPHYTA","MAGNOLIOPSIDA","MAGNOLIALES","ANNONACEAE",207752967,2018-08-14,"EN","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"12-500","125",NA,"3",2,10,1,4,80,835,80,NA
"1006",NA,"Cremastosperma dolichocarpum","TRACHEOPHYTA","MAGNOLIOPSIDA","MAGNOLIALES","ANNONACEAE",207754268,2018-08-14,"EN","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"20","1444",NA,"4",2,10,1,4,80,835,80,NA
"1007",NA,"Cremastosperma pacificum","TRACHEOPHYTA","MAGNOLIOPSIDA","MAGNOLIALES","ANNONACEAE",207754456,2018-08-14,"EN","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"24-500","7065",NA,"4",2,10,1,4,80,835,80,NA
"1008","Antioquia Wren","Thryophilus sernai","CHORDATA","AVES","PASSERIFORMES","TROGLODYTIDAE",209060851,2021-10-13,"VU","3.1","A3c+4c; B1ab(i,ii,iii,iv)","A3c+4c; B1ab(i,ii,iii,iv)","Extant","Native",1,"Decreasing","Unknown","Yes","Yes","Yes","Yes","Unknown","Unknown","3640","6360","2500-9999","6-10",1,10,4,2,80,835,40,NA
"1009",NA,"Miconia ortiziae","TRACHEOPHYTA","MAGNOLIOPSIDA","MYRTALES","MELASTOMATACEAE",211832512,2023-09-12,"EN","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",2,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"16","9682",NA,"4",2,5,2,4,80,835,40,NA
"1010",NA,"Solanum triplinervium","TRACHEOPHYTA","MAGNOLIOPSIDA","SOLANALES","SOLANACEAE",212629348,2022-02-01,"EN","3.1","B2ab(i,ii,iii,iv)","B2ab(i,ii,iii,iv)","Extant","Native",2,"Unknown",NA,"Yes","Yes","Yes","Yes",NA,NA,"24","8348",NA,"5",2,5,2,4,80,835,40,NA
"1011",NA,"Lepidoblepharis williamsi","CHORDATA","REPTILIA","SQUAMATA","SPHAERODACTYLIDAE",217804394,2013-10-23,"EN","3.1","B1ab(iii)","B1ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,NA,"700",NA,"4",2,10,1,4,80,835,80,NA
"1012","Palo Margarito","Sciodaphyllum elachistocephalum","TRACHEOPHYTA","MAGNOLIOPSIDA","APIALES","ARALIACEAE",218171724,2022-05-26,"EN","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",2,"Decreasing",NA,"Yes",NA,NA,NA,"No",NA,"24","13520-55000",NA,"5",2,5,2,4,80,835,40,NA
"1013",NA,"Ayenia stipularis","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","MALVACEAE",218171867,2022-05-26,"VU","3.1","B1ab(iii)","B1ab(iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,"No",NA,NA,"11539",NA,"5",1,10,2,4,80,835,40,NA
