"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"226","Snares Fernbird","Poodytes caudatus","CHORDATA","AVES","PASSERIFORMES","LOCUSTELLIDAE",208244295,2022-04-14,"VU","3.1","D2","D2",1,"Stable","No","Unknown","Unknown","No","No","Unknown","Yes","12","12","2000-3500, 3000","3",1,10,0,9,0,NA,90,16
"227","Chatham Island Black Robin","Petroica traversi","CHORDATA","AVES","PASSERIFORMES","PETROICIDAE",209015125,2021-10-21,"VU","3.1","D1+2","D1+2",1,"Stable","No","Unknown","No","No","No","No","Yes","24","24","290-310","2",1,10,0,9,0,NA,90,16
"228","Antipodes Green Parakeet","Cyanoramphus unicolor","CHORDATA","AVES","PSITTACIFORMES","PSITTACIDAE",213655486,2022-02-04,"VU","3.1","D2","D2",1,"Stable","No","No","No","No","No","No","Yes","84","84","2000-3000","5",1,10,0,9,0,NA,90,16
"229","Chatham Parakeet","Cyanoramphus forbesi","CHORDATA","AVES","PSITTACIFORMES","PSITTACIDAE",213712534,2022-02-07,"VU","3.1","D1+2","D1+2",1,"Stable","No","No","Unknown","No","No","Unknown","Yes","12","12","250-999","2",1,10,0,9,0,NA,90,16
"230","Snares Tomtit","Petroica dannefaerdi","CHORDATA","AVES","PASSERIFORMES","PETROICIDAE",213934065,2022-04-14,"VU","3.1","D1+2","D1+2",1,"Stable","No","Unknown","Unknown","No","No","Unknown","Yes","12","12","250-999","2",1,10,0,9,0,NA,90,16
"231","Stitchbird","Notiomystis cincta","CHORDATA","AVES","PASSERIFORMES","NOTIOMYSTIDAE",214276713,2022-05-24,"VU","3.1","D2","D2",1,"Stable","No","Unknown","No","No","No","No","Yes","48","48","2500-3400, 3100","1",1,10,0,9,0,NA,90,16
"232","Pupuharakeke","Placostylus bollonsi","MOLLUSCA","GASTROPODA","STYLOMMATOPHORA","ORTHALICIDAE",7074297,1996-08-01,"VU","2.3","D2","D2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,0,7,0,NA,70,30
"233","Cord Broom","Carmichaelia stevensonii","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE",9546933,1998-01-01,"VU","2.3","D2","D2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,0,7,0,NA,70,30
"234","Poor Knights Weta","Deinacrida fallai","ARTHROPODA","INSECTA","ORTHOPTERA","STENOPELMATIDAE",12602183,1996-08-01,"VU","2.3","D2","D2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,0,7,0,NA,70,30
"235","Wetapunga","Deinacrida heteracantha","ARTHROPODA","INSECTA","ORTHOPTERA","STENOPELMATIDAE",12602299,1996-08-01,"VU","2.3","D2","D2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,0,7,0,NA,70,30
"236","Stephens Island Weta","Deinacrida rugosa","ARTHROPODA","INSECTA","ORTHOPTERA","STENOPELMATIDAE",12602415,1996-08-01,"VU","2.3","D2","D2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,0,7,0,NA,70,30
"237","Alan's Skink","Oligosoma alani","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE",120190303,2019-11-24,"VU","3.1","D2","D2",1,"Increasing",NA,NA,NA,NA,NA,NA,"Yes","40",NA,NA,"10",1,10,0,7,0,NA,70,30
"238","Macgregor's Skink","Oligosoma macgregori","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE",120190326,2019-11-27,"VU","3.1","D2","D2",1,"Increasing",NA,NA,NA,NA,NA,NA,"Yes","8-12",NA,NA,NA,1,10,0,7,0,NA,70,30
"239","Towns’ Skink","Oligosoma townsi","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE",120192699,2019-12-15,"VU","3.1","D2","D2",1,"Increasing",NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,1,10,0,7,0,NA,70,30
"240","Auckland Island Shag","Leucocarbo colensoi","CHORDATA","AVES","SULIFORMES","PHALACROCORACIDAE",133556641,2018-08-09,"VU","3.1","D2","D2",1,"Stable","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","17","5900","3000","5",1,10,0,7,0,NA,70,30
"241","Campbell Shag","Leucocarbo campbelli","CHORDATA","AVES","SULIFORMES","PHALACROCORACIDAE",133556928,2018-08-09,"VU","3.1","D2","D2",1,"Stable","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","10","1000",NA,"1",1,10,0,7,0,NA,70,30
"242","Eastern Speckled Skink","Oligosoma auroraense","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE",156730116,2019-10-31,"VU","3.1","D2","D2",1,"Stable",NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,"1",1,10,0,7,0,NA,70,30
"243","Campbell Island Teal","Anas nesiotis","CHORDATA","AVES","ANSERIFORMES","ANATIDAE",171601774,2020-03-25,"VU","3.1","D2","D2",1,"Stable","No","No","No","No","No","No","Yes","10-356","7300","U","2",1,10,0,7,0,NA,70,30
"244","Chatham Island Snipe","Coenocorypha pusilla","CHORDATA","AVES","CHARADRIIFORMES","SCOLOPACIDAE",182890601,2022-04-11,"VU","3.1","D2","D2",1,"Stable","No","Unknown","Unknown","No","No","Unknown","Yes","40","180","1800-2200","4",1,10,0,7,0,NA,70,30
"245","Auckland Rail","Lewinia muelleri","CHORDATA","AVES","GRUIFORMES","RALLIDAE",209458380,2021-10-21,"VU","3.1","D2","D2",1,"Stable","No","Unknown","No","Unknown","Unknown","Unknown","Yes","46","360","2000","2",1,10,0,7,0,NA,70,30
"246","Three Kings Milk Kānuka","Kunzea triregensis","TRACHEOPHYTA","MAGNOLIOPSIDA","MYRTALES","MYRTACEAE",243965227,2025-05-09,"VU","3.1","D2","D2",1,"Stable",NA,NA,NA,NA,NA,NA,"Yes","16",NA,NA,"4",1,10,0,7,0,NA,70,30
"247","Chatham Island Toe","Cortaderia turbaria","TRACHEOPHYTA","LILIOPSIDA","POALES","POACEAE",44530382,2010-06-03,"VU","3.1","D1","D1",1,"Stable",NA,NA,NA,NA,NA,NA,NA,NA,"1500-2000","500",NA,1,10,0,6,0,NA,60,45
