"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"1132",NA,"Creagrutus atratus","CHORDATA","ACTINOPTERYGII","CHARACIFORMES","CHARACIDAE",61474108,2020-10-08,"VU","3.1","B2ab(iii)","B2ab(iii)",1,"Stable","Unknown","Yes",NA,NA,NA,NA,"No","84-13740,1376","23159-45707,23159",NA,"2",1,10,1,5,50,1125,50,NA
"1133",NA,"Peckoltia lineola","CHORDATA","ACTINOPTERYGII","SILURIFORMES","LORICARIIDAE",176023671,2020-08-21,"VU","3.1","B1ab(iii,v)+2ab(iii,v)","B1ab(iii,v)+2ab(iii,v)",2,"Unknown","Yes","Yes",NA,NA,NA,"Unknown",NA,"1384","6105",NA,"2",1,5,2,5,50,1125,25,NA
"1134",NA,"Pristobrycon careospinus","CHORDATA","ACTINOPTERYGII","CHARACIFORMES","SERRASALMIDAE",176036078,2020-10-21,"EN","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)",2,"Unknown","Unknown","Yes",NA,NA,NA,"Unknown","Unknown","12-5244,436","2789-22157,2789",NA,"2",2,5,1,5,50,1125,50,NA
"1135",NA,"Apistogramma lineata","CHORDATA","ACTINOPTERYGII","CICHLIFORMES","CICHLIDAE",176105872,2020-07-24,"EN","3.1","B1ab(iii)","B1ab(iii)",2,"Unknown","Unknown","Yes",NA,NA,NA,NA,"Unknown","2856","3749",NA,"2",2,5,1,5,50,1125,50,NA
"1136",NA,"Apistogramma psammophila","CHORDATA","ACTINOPTERYGII","CICHLIFORMES","CICHLIDAE",176106993,2020-07-24,"EN","3.1","B1ab(iii)","B1ab(iii)",2,"Unknown","Unknown","Yes",NA,NA,NA,NA,"Unknown","780","1007",NA,"2",2,5,1,5,50,1125,50,NA
"1137","Caribbean Sculptured Sea Catfish","Notarius neogranatensis","CHORDATA","ACTINOPTERYGII","SILURIFORMES","ARIIDAE",176734706,2011-08-18,"VU","3.1","B1ab(iii)","B1ab(iii)",1,"Unknown",NA,"Yes",NA,"Yes","Yes",NA,"Unknown","2973","17306",NA,"2",1,10,1,5,50,1125,50,NA
"1138",NA,"Miconia mcphersonii","TRACHEOPHYTA","MAGNOLIOPSIDA","MYRTALES","MELASTOMATACEAE",218162772,2022-05-26,"EN","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)",2,"Stable",NA,"Yes",NA,NA,NA,"No",NA,"16","881",NA,"2",2,5,1,5,50,1125,50,NA
"1139",NA,"Psychotria jefensis","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE",151999048,2021-06-22,"EN","3.1","B2ab(i,ii,iii)","B2ab(i,ii,iii)",3,"Unknown",NA,"Yes","Unknown","Yes","Yes",NA,"Yes","20","85986.59",NA,"3",2,3.33333333333333,1,7,46.6666666666667,1139,46.6666666666667,NA
"1140",NA,"Ateleia herbert-smithii","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE",162312446,2020-02-26,"EN","3.1","B2ab(i,ii,iii)","B2ab(i,ii,iii)",3,"Unknown",NA,"Yes","Unknown","Yes","Yes",NA,"Yes","80","164948",NA,"4",2,3.33333333333333,1,7,46.6666666666667,1139,46.6666666666667,NA
"1141",NA,"Pentaplaris doroteae","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","MALVACEAE",162576872,2020-10-19,"EN","3.1","B2ab(i,ii)","B2ab(i,ii)",3,"Unknown",NA,NA,NA,"Yes","Yes",NA,"Yes","28","24328",NA,"5",2,3.33333333333333,1,7,46.6666666666667,1139,46.6666666666667,NA
