"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"40","Pernambuco Pygmy Owl","Glaucidium mooreorum","CHORDATA","AVES","STRIGIFORMES","STRIGIDAE",156084939,2019-08-06,"CR","3.1","B1ab(ii,iii,iv,v); C2a(i,ii); D","B1ab(ii,iii,iv,v); C2a(i,ii); D",1,"Decreasing","Yes","Yes","Yes","Unknown","Yes","Unknown","Yes",NA,"0-100","0-49","0-18",4,10,2,10,800,31,400,NA
"41","Stresemann's Bristlefront","Merulaxis stresemanni","CHORDATA","AVES","PASSERIFORMES","RHINOCRYPTIDAE",161689029,2020-08-05,"CR","3.1","B1ab(ii,iii,v); C2a(i,ii); D","B1ab(ii,iii,v); C2a(i,ii); D",1,"Decreasing","Yes","Yes","Unknown","Unknown","Yes","Unknown","Yes","56","56","1-49","1",4,10,2,10,800,31,400,NA
"42","Alagoas Antwren","Myrmotherula snowi","CHORDATA","AVES","PASSERIFORMES","THAMNOPHILIDAE",161705427,2020-08-10,"CR","3.1","C2a(i,ii); D","C2a(i,ii); D",1,"Decreasing","Yes","No","Unknown","No","No","No","No","230","230","1-49","5-10",4,10,2,10,800,31,400,NA
"43",NA,"Manilkara dardanoi","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","SAPOTACEAE",176126069,2020-04-02,"CR","3.1","D","D",1,"Decreasing",NA,"No","No","No","No",NA,NA,"24","14027","20","3",4,10,2,10,800,31,400,NA
"44",NA,"Handroanthus grandiflorus","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","BIGNONIACEAE",189627852,2018-09-17,"CR","3.1","B1ab(i,ii,iii)+2ab(i,ii,iii); D","B1ab(i,ii,iii)+2ab(i,ii,iii); D",1,"Decreasing","Unknown","Yes","No","Yes","Yes",NA,NA,"4","4","8","1",4,10,2,10,800,31,400,NA
"45",NA,"Symplocos microstyla","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","SYMPLOCACEAE",191133651,2018-07-27,"CR","3.1","B1ab(ii,iii,v)+2ab(ii,iii,v); C2a(i,ii); D","B1ab(ii,iii,v)+2ab(ii,iii,v); C2a(i,ii); D",1,"Increasing","Yes","Yes","No",NA,"Yes",NA,NA,"8","8","2-49","1",4,10,2,10,800,31,400,NA
"46",NA,"Eschweilera sphaerocarpa","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","LECYTHIDACEAE",191152183,2018-11-13,"CR","3.1","B1ab(i,ii,iii)+2ab(i,ii,iii); D","B1ab(i,ii,iii)+2ab(i,ii,iii); D",1,"Decreasing","Unknown","Yes","No","Yes","Yes",NA,NA,"12","12","3-49","1",4,10,2,10,800,31,400,NA
"47",NA,"Lecythis schwackei","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","LECYTHIDACEAE",202326972,2019-06-15,"CR","3.1","C2a(i,ii); D","C2a(i,ii); D",1,"Decreasing","Yes","No",NA,"Yes","Yes","Yes",NA,"20","2002","21-50","2",4,10,2,10,800,31,400,NA
"48",NA,"Bondarzewia sp. nov. 'loguerciae'","BASIDIOMYCOTA","AGARICOMYCETES","RUSSULALES","BONDARZEWIACEAE",245801953,2023-09-12,"CR","3.1","A3ce","A3ce",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,"5000",NA,4,10,10,2,800,31,400,NA
"49","Moleques do Sul Guinea Pig","Cavia intermedia","CHORDATA","MAMMALIA","RODENTIA","CAVIIDAE",284725227,2016-03-01,"CR","3.1","D","D",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,"0.105","0.04","24-60","1",4,10,2,10,800,31,400,NA
"50",NA,"Coleocephalocereus braunii","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","CACTACEAE",551450,2010-06-04,"CR","3.1","B1ab(iii,v)+2ab(iii,v)","B1ab(iii,v)+2ab(iii,v)",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes","4","4","999","1",4,10,2,9,720,50,360,NA
"51",NA,"Coleocephalocereus diersianus","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","CACTACEAE",560931,2010-06-04,"CR","3.1","B1ab(iii,v)+2ab(iii,v)","B1ab(iii,v)+2ab(iii,v)",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes","4","4",NA,"1",4,10,2,9,720,50,360,NA
"52",NA,"Parodia rechensis","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","CACTACEAE",578426,2010-06-03,"CR","3.1","B1ab(iii,v)+2ab(iii,v); C2a(ii)","B1ab(iii,v)+2ab(iii,v); C2a(ii)",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes","0.015","0.015","70","1",4,10,2,9,720,50,360,NA
"53",NA,"Melocactus braunii","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","CACTACEAE",608927,2010-08-09,"CR","3.1","B1ab(iii,v)","B1ab(iii,v)",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,NA,"99",NA,"1",4,10,2,9,720,50,360,NA
"54",NA,"Rhipsalis pentaptera","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","CACTACEAE",628721,2010-06-04,"CR","3.1","B1ab(iii,v)+2ab(iii,v)","B1ab(iii,v)+2ab(iii,v)",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes","3","3",NA,"1",4,10,2,9,720,50,360,NA
"55",NA,"Rhipsalis mesembryanthemoides","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","CACTACEAE",637316,2010-06-04,"CR","3.1","B1ab(iii,v)+2ab(iii,v)","B1ab(iii,v)+2ab(iii,v)",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes","9","99",NA,"1",4,10,2,9,720,50,360,NA
"56",NA,"Cereus saddianus","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","CACTACEAE",656368,2010-08-10,"CR","3.1","B1ab(iii,v)","B1ab(iii,v)",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,NA,"99",NA,"1",4,10,2,9,720,50,360,NA
"57",NA,"Melocactus brederooianus","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","CACTACEAE",657591,2010-08-08,"CR","3.1","B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)","B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,"2","150",NA,"1",4,10,2,9,720,50,360,NA
"58",NA,"Arrojadoa marylaniae","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","CACTACEAE",677736,2010-06-03,"CR","3.1","B1ab(iii,v)+2ab(iii,v)","B1ab(iii,v)+2ab(iii,v)",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes","9","9","4999","1",4,10,2,9,720,50,360,NA
"59",NA,"Rhipsalis triangularis","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","CACTACEAE",1750883,2010-06-04,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"2","2",NA,"1",4,10,2,9,720,50,360,NA
"60",NA,"Pseudotocinclus juquiae","CHORDATA","ACTINOPTERYGII","SILURIFORMES","LORICARIIDAE",1811301,2018-11-07,"CR","3.1","B2ab(iii,iv)","B2ab(iii,iv)",1,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,2,9,720,50,360,NA
"61",NA,"Notholebias fractifasciatus","CHORDATA","ACTINOPTERYGII","CYPRINODONTIFORMES","RIVULIDAE",1811361,2018-11-07,"CR","3.1","B2ab(i,ii,iii,iv)","B2ab(i,ii,iii,iv)",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,2,9,720,50,360,NA
"62",NA,"Leptopanchax itanhaensis","CHORDATA","ACTINOPTERYGII","CYPRINODONTIFORMES","APLOCHEILIDAE",1811871,2018-11-07,"CR","3.1","B2ab(i,ii,iii,iv)","B2ab(i,ii,iii,iv)",1,"Unknown",NA,"Yes","Yes","Yes","Yes","Unknown",NA,"4",NA,NA,"1",4,10,2,9,720,50,360,NA
