"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","focalCountryPresence","focalCountryOrigin","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"27",NA,"Zamia vazquezii","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",243413573,2020-06-26,"CR","3.1","A2cd; B1ab(i,ii,iii,v)+2ab(i,ii,iii,v); C2a(i); D","A2cd; B1ab(i,ii,iii,v)+2ab(i,ii,iii,v); C2a(i); D","Extant","Native",1,"Decreasing","Yes","Yes",NA,"Yes","Yes",NA,"Yes","8","75-100","2-49","2",4,10,5,10,2000,23,400,NA
"28",NA,"Mammillaria herrerae","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","CACTACEAE",2935827,2009-11-18,"CR","3.1","A2ad; B1ab(v)+2ab(v)","A2ad; B1ab(v)+2ab(v)","Extant","Native",1,"Decreasing","Yes",NA,NA,NA,NA,NA,NA,"1","4",NA,"1",4,10,5,9,1800,28,360,NA
"29","Árbol de Chile","Capparidastrum tuxtlense","TRACHEOPHYTA","MAGNOLIOPSIDA","BRASSICALES","CAPPARACEAE",126300621,2020-02-25,"CR","3.1","A2c; B1ab(i,ii,iii,v)","A2c; B1ab(i,ii,iii,v)","Extant","Native",1,"Decreasing","Yes","Yes",NA,"Yes","Yes",NA,NA,"32","32","499","1",4,10,5,9,1800,28,360,NA
"30",NA,"Gyminda fimbrillata","TRACHEOPHYTA","MAGNOLIOPSIDA","CELASTRALES","CELASTRACEAE",126300706,2020-02-04,"CR","3.1","A2ac; B1ab(ii,iii)","A2ac; B1ab(ii,iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,"Yes",NA,NA,NA,"25-100","249","2",4,10,5,9,1800,28,360,NA
"31",NA,"Mappia mexicana","TRACHEOPHYTA","MAGNOLIOPSIDA","ICACINALES","ICACINACEAE",126604259,2020-04-01,"CR","3.1","A2ac","A2ac","Extant","Native",1,"Decreasing",NA,"Yes",NA,"Yes","Yes",NA,NA,"4","5594",NA,NA,4,10,5,9,1800,28,360,NA
"32",NA,"Cleyera serrulata","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","PENTAPHYLACACEAE",126609768,2020-04-09,"CR","3.1","A2ac","A2ac","Extant","Native",1,"Decreasing",NA,"Yes",NA,"Yes","Yes",NA,NA,"8",NA,NA,NA,4,10,5,9,1800,28,360,NA
"33",NA,"Cleyera velutina","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","PENTAPHYLACACEAE",126609773,2020-04-09,"CR","3.1","A2c","A2c","Extant","Native",1,"Decreasing",NA,"Yes",NA,"Yes","Yes",NA,NA,"20","66.266","249",NA,4,10,5,9,1800,28,360,NA
"34",NA,"Amyris thyrsiflora","TRACHEOPHYTA","MAGNOLIOPSIDA","SAPINDALES","RUTACEAE",126620858,2020-11-18,"CR","3.1","A2ac","A2ac","Extant","Native",1,"Decreasing","Yes","Yes",NA,"Yes","Yes",NA,NA,"16","38.414","249",NA,4,10,5,9,1800,28,360,NA
"35",NA,"Ateleia chiangii","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE",152759879,2019-06-13,"CR","3.1","A2ac","A2ac","Extant","Native",1,"Decreasing","Yes","Yes",NA,NA,"Yes",NA,NA,"12-500","51.211",NA,"3-5",4,10,5,9,1800,28,360,NA
"36",NA,"Lonchocarpus brachyanthus","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE",156940532,2019-08-28,"CR","3.1","A2ac; B1ab(i,ii,iii)+2ab(i,ii,iii)","A2ac; B1ab(i,ii,iii)+2ab(i,ii,iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,"Yes","Yes",NA,NA,"4","8-100","2499","1",4,10,5,9,1800,28,360,NA
"37","Majagua","Hampea breedlovei","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","MALVACEAE",173847561,2020-05-11,"CR","3.1","A2ac; B1ab(i,iii)","A2ac; B1ab(i,iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,"Yes",NA,NA,NA,NA,"18.161",NA,"1",4,10,5,9,1800,28,360,NA
"38",NA,"Quararibea lopezperaltae","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","MALVACEAE",173847935,2020-05-14,"CR","3.1","A2ac; B1ab(iii)","A2ac; B1ab(iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"99",NA,"2",4,10,5,9,1800,28,360,NA
"39",NA,"Malpighia hintonii","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","MALPIGHIACEAE",194048713,2021-02-10,"CR","3.1","A2ac","A2ac","Extant","Native",1,"Decreasing","Yes","Yes",NA,"Yes","Yes",NA,NA,"12","35.173","249",NA,4,10,5,9,1800,28,360,NA
"40",NA,"Sloanea veracruzana","TRACHEOPHYTA","MAGNOLIOPSIDA","OXALIDALES","ELAEOCARPACEAE",194049023,2021-01-08,"CR","3.1","A2ac; B1ab(i,ii,iii)","A2ac; B1ab(i,ii,iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,"Yes","Yes",NA,NA,"12.000","17.081",NA,"1",4,10,5,9,1800,28,360,NA
"41",NA,"Eugenia mozomboensis","TRACHEOPHYTA","MAGNOLIOPSIDA","MYRTALES","MYRTACEAE",204727900,2022-02-17,"CR","3.1","A2ac; B1ab(i,ii,iii,iv)","A2ac; B1ab(i,ii,iii,iv)","Extant","Native",1,"Decreasing",NA,"Yes","Yes","Yes","Yes",NA,NA,"20.000","77.201",NA,"1",4,10,5,9,1800,28,360,NA
"42","Bolson Tortoise","Gopherus flavomarginatus","CHORDATA","REPTILIA","TESTUDINES","TESTUDINIDAE",112660985,2017-03-09,"CR","3.1","A4bcd","A4bcd","Extant","Native",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,"2500",NA,4,10,10,4,1600,42,400,NA
"43",NA,"Parathesis perpunctata","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","PRIMULACEAE",194048993,2021-02-23,"CR","3.1","A2c","A2c","Extant","Native",1,"Decreasing","Unknown","Yes",NA,NA,NA,NA,NA,NA,NA,"249",NA,4,10,5,8,1600,42,320,NA
"44",NA,"Ceratozamia kuesteriana","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",243398420,2020-07-09,"CR","3.1","A2cd","A2cd","Extant","Native",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,NA,"340","250-500",NA,4,10,5,7,1400,44,280,NA
