"CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","focalCountryPresence","focalCountryOrigin","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
NA,"Ternstroemia robinsonii","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","PENTAPHYLACACEAE",169501055,"2020-11-09","EN",3.1,"B2ab(iii,iv,v)","B2ab(iii,iv,v)","Extant","Native",1,"Decreasing","Yes","Yes","Yes",NA,NA,NA,NA,"20","7539.245",NA,"3-5",2,10,2,3,120,755,60,NA
NA,"Tarsius niemitzi","CHORDATA","MAMMALIA","PRIMATES","TARSIIDAE",171341769,"2020-03-22","EN",3.1,"B1ab(iii,iv)","B1ab(iii,iv)","Extant","Native",1,"Decreasing",NA,"Yes","Yes",NA,NA,"Yes","No","600-700","1706","10000-20000","6",2,10,2,3,120,755,60,NA
NA,"Rhinocypha flavipoda","ARTHROPODA","INSECTA","ODONATA","CHLOROCYPHIDAE",173756636,"2020-04-25","EN",3.1,"B1ab(ii,iii)","B1ab(ii,iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,"Yes",NA,NA,NA,"16-2055",NA,"4-7",2,10,2,3,120,755,60,NA
NA,"Rhinocypha pelengensis","ARTHROPODA","INSECTA","ODONATA","CHLOROCYPHIDAE",173756644,"2020-04-25","EN",3.1,"B1ab(ii,iii)","B1ab(ii,iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,"Yes",NA,NA,NA,"501",NA,"1-2",2,10,2,3,120,755,60,NA
NA,"Rhinocypha virgulata","ARTHROPODA","INSECTA","ODONATA","CHLOROCYPHIDAE",173756668,"2020-04-26","EN",3.1,"B1ab(ii,iii)","B1ab(ii,iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,"Yes",NA,NA,NA,"707-2564",NA,"6-8",2,10,2,3,120,755,60,NA
NA,"Coeliccia lieftincki","ARTHROPODA","INSECTA","ODONATA","PLATYCNEMIDIDAE",173775375,"2020-12-13","EN",3.1,"B1ab(ii,iii)+2ab(ii,iii)","B1ab(ii,iii)+2ab(ii,iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,"Yes",NA,NA,"10-500","7-1202",NA,"3-11",2,10,2,3,120,755,60,NA
NA,"Prodasineura quadristigma","ARTHROPODA","INSECTA","ODONATA","PLATYCNEMIDIDAE",176976675,"2018-10-24","EN",3.1,"B2ab(ii,iii)","B2ab(ii,iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,"Yes",NA,NA,"10-99",NA,NA,"1-2",2,10,2,3,120,755,60,NA
NA,"Cyrtandra tenuicarpa","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","GESNERIACEAE",177440547,"2020-12-01","EN",3.1,"B2ab(iii)","B2ab(iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"12-16",NA,NA,"3-4",2,10,2,3,120,755,60,NA
NA,"Mitrephora simeuluensis","TRACHEOPHYTA","MAGNOLIOPSIDA","MAGNOLIALES","ANNONACEAE",179229879,"2022-02-14","EN",3.1,"B1ab(iii)","B1ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,NA,"1838",NA,"1",2,10,1,6,120,755,120,NA
"Javan White-eye","Zosterops flavus","CHORDATA","AVES","PASSERIFORMES","ZOSTEROPIDAE",182944513,"2020-08-24","EN",3.1,"A2bcd+3bcd+4bcd","A2bcd+3bcd+4bcd","Extant","Native",1,"Decreasing","Yes","Yes","Yes","Yes","Yes","Unknown","No",NA,"17700","U",NA,2,10,6,1,120,755,120,NA
