"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","focalCountryPresence","focalCountryOrigin","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"25","Underground Orchid","Rhizanthella gardneri","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",97854226,2020-04-06,"CR","3.1","C1+2a(i); D","C1+2a(i); D","Extant","Native",2,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes","12","105","9","2",4,5,8,10,1600,25,200,NA
"26","Lake Varley Grevillea","Grevillea involucrata","TRACHEOPHYTA","MAGNOLIOPSIDA","PROTEALES","PROTEACEAE",113308151,2018-10-26,"CR","3.1","A2ace+4ace; C2a(i)","A2ace+4ace; C2a(i)","Extant","Native",2,"Decreasing","Yes",NA,"Unknown","Unknown","Unknown",NA,"No",NA,NA,"154",NA,4,5,10,8,1600,25,200,NA
"27","Morrisby's Gum","Eucalyptus morrisbyi","TRACHEOPHYTA","MAGNOLIOPSIDA","MYRTALES","MYRTACEAE",133031902,2019-03-19,"CR","3.1","A2a; C1+2a(i); D","A2a; C1+2a(i); D","Extant","Native",2,"Decreasing","Yes",NA,"Yes",NA,NA,"Yes","Yes","76","283.4","7-29","1",4,5,8,10,1600,25,200,NA
"28","Avon Peppermint","Eucalyptus ornans","TRACHEOPHYTA","MAGNOLIOPSIDA","MYRTALES","MYRTACEAE",133376723,2019-03-18,"CR","3.1","A2a; B1ab(i,ii,iv,v)+2ab(i,ii,iv,v); C1+2a(i,ii); D","A2a; B1ab(i,ii,iv,v)+2ab(i,ii,iv,v); C1+2a(i,ii); D","Extant","Native",2,"Decreasing","Yes","No","Yes","Yes","Yes","Yes","Yes","8","8","10","1",4,5,8,10,1600,25,200,NA
"29","Brandy Marys Leek-orchid","Prasophyllum innubum","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",206712879,2010-08-26,"CR","3.1","B1ab(v)c(iv); C1+2b; D","B1ab(v)c(iv); C1+2b; D","Extant","Native",2,"Decreasing","Yes",NA,NA,NA,NA,NA,"Yes",NA,"45-251","1-200","1",4,5,8,10,1600,25,200,NA
"30","Two-bristle Greenhood","Pterostylis psammophilus","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",206712894,2015-11-09,"CR","3.1","A2ac; B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v); C1; D","A2ac; B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v); C1; D","Extant","Native",2,"Decreasing","Yes","Yes","Yes","Yes","Yes",NA,"Yes","8","8","20-249","2",4,5,8,10,1600,25,200,NA
"31","Baudin's Black-cockatoo","Zanda baudinii","CHORDATA","AVES","PSITTACIFORMES","CACATUIDAE",210840935,2021-11-16,"CR","3.1","A2bcde+3cde+4bcde","A2bcde+3cde+4bcde","Extant","Native",1,"Decreasing","Yes","Yes","Unknown","Unknown","Unknown","No","No",NA,"79000","2500-4000, 3250",NA,4,10,10,4,1600,25,400,NA
"32","Regent Honeyeater","Anthochaera phrygia","CHORDATA","AVES","PASSERIFORMES","MELIPHAGIDAE",130992272,2018-08-06,"CR","3.1","A2bce","A2bce","Extant","Native",1,"Decreasing","Yes","Yes","Yes","Yes","Yes","No","No","300","129000","350-400","11-100",4,10,5,7,1400,32,280,NA
"33",NA,"Banksia cuneata","TRACHEOPHYTA","MAGNOLIOPSIDA","PROTEALES","PROTEACEAE",113306526,2018-10-23,"CR","3.1","A2ace+4ace","A2ace+4ace","Extant","Native",2,"Decreasing","Yes","Yes",NA,NA,NA,NA,"No",NA,"3038","600-700",NA,4,5,10,6,1200,33,200,NA
"34","'Hunter' Upland Galaxias","Galaxias sp. nov. 'Hunter'","CHORDATA","ACTINOPTERYGII","OSMERIFORMES","GALAXIIDAE",128972891,2019-02-13,"CR","3.1","A3bce","A3bce","Extant","Native",2,"Decreasing","Yes","Yes",NA,"Yes","Yes","Yes","Yes","44","1597",NA,"1",4,5,10,6,1200,33,200,NA
"35","Kangaroo Island Assassin Spider","Zephyrarchaea austini","ARTHROPODA","ARACHNIDA","ARANEAE","ARCHAEIDAE",196181388,2021-02-11,"CR","3.1","A2c+4ce","A2c+4ce","Extant","Native",2,"Decreasing","Yes","Yes","No","No",NA,"No",NA,NA,"1000",NA,"1",4,5,10,6,1200,33,200,NA
"36","Corroboree Frog","Pseudophryne corroboree","CHORDATA","AMPHIBIA","ANURA","MYOBATRACHIDAE",78432063,2022-03-29,"CR","3.1","A2ace; B1ab(iii,v); D","A2ace; B1ab(iii,v); D","Extant","Native",2,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,"36","45","4-50","1",4,5,5,10,1000,36,200,NA
"37",NA,"Drosera leioblastus","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","DROSERACEAE",97718362,2020-01-17,"CR","3.1","A2ac; B1ab(v)+2ab(v); D","A2ac; B1ab(v)+2ab(v); D","Extant","Native",2,"Unknown","Yes",NA,NA,NA,NA,NA,"Yes","4","4","6","1",4,5,5,10,1000,36,200,NA
"38","Central North Burrowing Crayfish","Engaeus granulatus","ARTHROPODA","MALACOSTRACA","DECAPODA","PARASTACIDAE",12847485,2010-06-01,"CR","3.1","A2ab; B2ab(iii)","A2ab; B2ab(iii)","Extant","Native",2,"Unknown",NA,NA,NA,NA,NA,NA,NA,"0.2-0.5","515","20000-188000",NA,4,5,5,9,900,38,180,NA
"39","Glenelg Freshwater Mussel","Hyridella glenelgensis","MOLLUSCA","BIVALVIA","UNIONIDA","HYRIIDAE",58628791,2014-04-13,"CR","3.1","A2abc; B2ab(iii,v)","A2abc; B2ab(iii,v)","Extant","Native",2,"Decreasing","Yes","Yes",NA,NA,"Unknown",NA,"Yes","4",NA,"1000","1",4,5,5,9,900,38,180,NA
"40","Barrett’s Plant-louse","Trioza barrettae","ARTHROPODA","INSECTA","HEMIPTERA","TRIOZIDAE",67586512,2014-10-14,"CR","3.1","A2ce; B2ab(i,ii,iii,iv)","A2ce; B2ab(i,ii,iii,iv)","Extant","Native",2,"Unknown",NA,"Yes",NA,"Yes","Yes","Yes","Yes","2-8",NA,NA,"2",4,5,5,9,900,38,180,NA
"41","Baw Baw Frog","Philoria frosti","CHORDATA","AMPHIBIA","ANURA","LIMNODYNASTIDAE",78428326,2021-06-07,"CR","3.1","A2ace; B1ab(i,ii,iii,iv,v)","A2ace; B1ab(i,ii,iii,iv,v)","Extant","Native",2,"Decreasing","Yes","Yes",NA,"Yes","Yes","Yes",NA,NA,"50-140",NA,"1",4,5,5,9,900,38,180,NA
