"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"92",NA,"Plectostoma umbilicatum","MOLLUSCA","GASTROPODA","ARCHITAENIOGLOSSA","DIPLOMMATINIDAE",58628546,2014-03-28,"CR","3.1","B2ab(iii,v); C2a(ii)","B2ab(iii,v); C2a(ii)",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes","4",NA,"100","1",4,10,2,9,720,72,360,NA
"93",NA,"Plectostoma tenggekensis","MOLLUSCA","GASTROPODA","ARCHITAENIOGLOSSA","DIPLOMMATINIDAE",58628586,2014-03-31,"CR","3.1","B2ab(iii,v)","B2ab(iii,v)",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes","4",NA,NA,"1",4,10,2,9,720,72,360,NA
"94",NA,"Plectostoma charasense","MOLLUSCA","GASTROPODA","ARCHITAENIOGLOSSA","DIPLOMMATINIDAE",58628611,2014-03-31,"CR","3.1","B2ab(iii,v)","B2ab(iii,v)",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes","4",NA,NA,"1",4,10,2,9,720,72,360,NA
"95","Kanthan Cave Trapdoor Spider","Liphistius kanthan","ARTHROPODA","ARACHNIDA","ARANEAE","LIPHISTIIDAE",76124022,2013-05-24,"CR","3.1","B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)","B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",1,"Unknown","Yes","Yes","Yes","Yes","Yes","Yes","Yes","4","4",NA,"1",4,10,2,9,720,72,360,NA
"96",NA,"Parosphromenus alfredi","CHORDATA","ACTINOPTERYGII","PERCIFORMES","OSPHRONEMIDAE",89824311,2019-01-14,"CR","3.1","B2ab(iii,v)","B2ab(iii,v)",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,"4",NA,NA,"1",4,10,2,9,720,72,360,NA
"97",NA,"Clarias sulcatus","CHORDATA","ACTINOPTERYGII","SILURIFORMES","CLARIIDAE",91226672,2018-09-01,"CR","3.1","B1ab(ii,iii)+2ab(ii,iii)","B1ab(ii,iii)+2ab(ii,iii)",1,"Decreasing","Unknown","Yes","No","Unknown","Yes","Unknown","Yes","8","35",NA,"1",4,10,2,9,720,72,360,NA
"98",NA,"Leptobrachella kecil","CHORDATA","AMPHIBIA","ANURA","MEGOPHRYIDAE",92417188,2018-04-18,"CR","3.1","B1ab(iii)","B1ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"10",NA,"1",4,10,2,9,720,72,360,NA
"99","Temiah Rock Gecko","Cnemaspis temiah","CHORDATA","REPTILIA","SQUAMATA","GEKKONIDAE",99943618,2017-05-24,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"4","4",NA,"1",4,10,2,9,720,72,360,NA
"100","Jarak Island Bent-toed Gecko","Cyrtodactylus jarakensis","CHORDATA","REPTILIA","SQUAMATA","GEKKONIDAE",101742367,2017-05-23,"CR","3.1","B1ab(iii,v)+2ab(iii,v)","B1ab(iii,v)+2ab(iii,v)",1,"Unknown","Yes","Yes",NA,NA,NA,NA,NA,"4","4",NA,"1",4,10,2,9,720,72,360,NA
"101",NA,"Payena kapitensis","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","SAPOTACEAE",116928554,2018-03-15,"CR","3.1","B2ab(iii)","B2ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"4",NA,NA,"1",4,10,2,9,720,72,360,NA
