"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","focalCountryPresence","focalCountryOrigin","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"43","Botsford's Leaf-litter Frog","Leptobrachella botsfordi","CHORDATA","AMPHIBIA","ANURA","MEGOPHRYIDAE",87994974,2020-08-20,"CR","3.1","B1ab(iii)","B1ab(iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,"Yes",NA,"36",NA,"1",4,10,2,9,720,32,360,NA
"44",NA,"Notharinia sp. nov. 'Khoe La'","MOLLUSCA","GASTROPODA","ARCHITAENIOGLOSSA","PUPINIDAE",89302540,2016-02-12,"CR","3.1","B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)","B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)","Extant","Native",1,"Decreasing","Yes","Yes",NA,"Yes","Yes",NA,"Yes","0.7-8","8",NA,"1",4,10,2,9,720,32,360,NA
"45",NA,"Notharinia sp. nov. 'Khoe La & Ong'","MOLLUSCA","GASTROPODA","ARCHITAENIOGLOSSA","PUPINIDAE",89302570,2016-02-12,"CR","3.1","B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v)","B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v)","Extant","Native",1,"Decreasing","Yes","Yes","Unknown","Unknown","Yes","Yes","Yes","8","8",NA,"1",4,10,2,9,720,32,360,NA
"46",NA,"Sesara sp. nov. 'Bai Voi'","MOLLUSCA","GASTROPODA","STYLOMMATOPHORA","HELICARIONIDAE",89302585,2016-02-11,"CR","3.1","B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)","B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)","Extant","Native",1,"Decreasing","Yes","Yes","No","Yes","Yes",NA,"Yes","8","8",NA,"1",4,10,2,9,720,32,360,NA
"47",NA,"Delamarephorura tami","ARTHROPODA","COLLEMBOLA","PODUROMORPHA","TULLBERGIIDAE",89575531,2016-02-09,"CR","3.1","B1ab(iii,v)+2ab(iii,v)","B1ab(iii,v)+2ab(iii,v)","Possibly Extinct","Native",1,"Unknown","Yes","Yes",NA,NA,NA,NA,"Yes","4","4",NA,"1",4,10,2,9,720,32,360,NA
"48",NA,"Ornithoboea emarginata","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","GESNERIACEAE",89661984,2016-02-09,"CR","3.1","B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)","B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)","Extant","Native",1,"Decreasing","Yes","Yes",NA,"Yes","Yes",NA,"Yes","2-20","20",NA,"4",4,10,2,9,720,32,360,NA
"49",NA,"Ceratophysella sp. nov. 'HC'","ARTHROPODA","COLLEMBOLA","PODUROMORPHA","HYPOGASTRURIDAE",89695779,2016-02-11,"CR","3.1","B1ab(ii,iii,v)+2ab(ii,iii,v)","B1ab(ii,iii,v)+2ab(ii,iii,v)","Extant","Native",1,"Decreasing","Yes","Yes","Unknown","No","Yes",NA,"Yes","0.1-4","0.1-4",NA,"1",4,10,2,9,720,32,360,NA
"50",NA,"Pinus cernua","TRACHEOPHYTA","PINOPSIDA","PINALES","PINACEAE",96800036,2016-06-02,"CR","3.1","B1ab(iii,v)","B1ab(iii,v)","Extant","Native",1,"Unknown","Yes","Yes",NA,NA,NA,NA,NA,"12","75",NA,"1",4,10,2,9,720,32,360,NA
"51","Bidoup Litter Toad","Leptobrachella bidoupensis","CHORDATA","AMPHIBIA","ANURA","MEGOPHRYIDAE",117240397,2017-07-05,"CR","3.1","B1ab(iii)","B1ab(iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,"Yes",NA,"42",NA,"1",4,10,2,9,720,32,360,NA
"52",NA,"Matticnemis doi","ARTHROPODA","INSECTA","ODONATA","PLATYCNEMIDIDAE",139430078,2018-12-30,"CR","3.1","B2ab(ii,iii)","B2ab(ii,iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,"Yes",NA,NA,"2-10",NA,NA,"1",4,10,2,9,720,32,360,NA
"53","Rowley’s Litter Toad","Leptobrachella rowleyae","CHORDATA","AMPHIBIA","ANURA","MEGOPHRYIDAE",149685455,2020-08-17,"CR","3.1","B1ab(iii)","B1ab(iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"19",NA,"1",4,10,2,9,720,32,360,NA
"54",NA,"Atrocalopteryx auco","ARTHROPODA","INSECTA","ODONATA","CALOPTERYGIDAE",167179945,2020-05-08,"CR","3.1","B1ab(ii,iii)+2ab(ii,iii)","B1ab(ii,iii)+2ab(ii,iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,"Yes",NA,NA,"4-8","4-272,4-100",NA,"1",4,10,2,9,720,32,360,NA
