"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"62",NA,"Miconia sulcata","TRACHEOPHYTA","MAGNOLIOPSIDA","MYRTALES","MELASTOMATACEAE",207805245,2022-08-04,"CR","3.1","B2ab(iii)","B2ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"4",NA,NA,"1",4,10,2,9,720,22,360,NA
"63",NA,"Myrsine microdonta","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","PRIMULACEAE",207805265,2022-07-29,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"8","8",NA,"2",4,10,2,9,720,22,360,NA
"64",NA,"Psychotria weberbaueri","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE",207805370,2022-08-25,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"4","4",NA,"1",4,10,2,9,720,22,360,NA
"65",NA,"Quararibea bilobata","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","MALVACEAE",207805375,2023-12-30,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"4","4",NA,"1",4,10,2,9,720,22,360,NA
"66",NA,"Vochysia majuscula","TRACHEOPHYTA","MAGNOLIOPSIDA","MYRTALES","VOCHYSIACEAE",207805420,2023-05-09,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"4","4",NA,"1",4,10,2,9,720,22,360,NA
"67",NA,"Solanum mariae","TRACHEOPHYTA","MAGNOLIOPSIDA","SOLANALES","SOLANACEAE",212629228,2022-01-18,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,"Yes","4","4",NA,"1",4,10,2,9,720,22,360,NA
"68",NA,"Solanum tergosericeum","TRACHEOPHYTA","MAGNOLIOPSIDA","SOLANALES","SOLANACEAE",212629328,2022-04-10,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,"Yes","4","4",NA,"1",4,10,2,9,720,22,360,NA
"69",NA,"Magnolia reynelii","TRACHEOPHYTA","MAGNOLIOPSIDA","MAGNOLIALES","MAGNOLIACEAE",216693432,2022-04-06,"CR","3.1","B1ab(ii,iii)+2ab(ii,iii)","B1ab(ii,iii)+2ab(ii,iii)",1,"Decreasing",NA,"Yes",NA,NA,"Yes",NA,NA,"4","4",NA,"1",4,10,2,9,720,22,360,NA
"70",NA,"Isoetes dispora","TRACHEOPHYTA","LYCOPODIOPSIDA","ISOETALES","ISOETACEAE",217616985,2014-06-09,"CR","3.1","B1ab(iii,v)+2ab(iii,v)","B1ab(iii,v)+2ab(iii,v)",1,"Decreasing","Yes","Yes",NA,"Unknown","Unknown",NA,"Yes","4","4",NA,"1",4,10,2,9,720,22,360,NA
"71",NA,"Cordia cicatricosa","TRACHEOPHYTA","MAGNOLIOPSIDA","BORAGINALES","CORDIACEAE",219559755,2022-08-03,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"4","4",NA,"1",4,10,2,9,720,22,360,NA
