"CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","focalCountryPresence","focalCountryOrigin","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
NA,"Allophoron farinosum","ASCOMYCOTA","NOT ASSIGNED","NOT ASSIGNED","NOT ASSIGNED",180168563,2019-11-26,"CR","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4",NA,NA,"1",4,10,1,9,360,265,360,NA
NA,"Platythecium serpentinellum","ASCOMYCOTA","LECANOROMYCETES","OSTROPALES","GRAPHIDACEAE",180169869,2019-11-26,"CR","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4",NA,NA,"1",4,10,1,9,360,265,360,NA
NA,"Gustavia latifolia","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","LECYTHIDACEAE",180901943,2020-07-01,"EN","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,"No",NA,"8","8",NA,"2",2,10,2,9,360,265,180,NA
"Motoso","Pachira pulchra","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","MALVACEAE",180905955,2020-07-01,"EN","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,"No",NA,"12","82",NA,"2",2,10,2,9,360,265,180,NA
NA,"Besleria decipiens","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","GESNERIACEAE",180908963,2020-07-01,"EN","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,"No",NA,"8","8",NA,"2",2,10,2,9,360,265,180,NA
NA,"Perymenium colombianum","TRACHEOPHYTA","MAGNOLIOPSIDA","ASTERALES","ASTERACEAE",180910696,2020-07-01,"EN","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,"No",NA,"8","8-5000",NA,"2",2,10,2,9,360,265,180,NA
NA,"Cordia killipiana","TRACHEOPHYTA","MAGNOLIOPSIDA","BORAGINALES","CORDIACEAE",181624262,2020-07-15,"EN","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,"No",NA,"8","8",NA,"2",2,10,2,9,360,265,180,NA
"Sorogá","Vochysia pacifica","TRACHEOPHYTA","MAGNOLIOPSIDA","MYRTALES","VOCHYSIACEAE",181627782,2020-07-15,"EN","3.1","B1ab(iii)","B1ab(iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,"No",NA,NA,"12",NA,"2",2,10,2,9,360,265,180,NA
NA,"Vochysia magna","TRACHEOPHYTA","MAGNOLIOPSIDA","MYRTALES","VOCHYSIACEAE",181627896,2020-07-15,"EN","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,"No",NA,"8","8",NA,"2",2,10,2,9,360,265,180,NA
NA,"Vochysia antioquia","TRACHEOPHYTA","MAGNOLIOPSIDA","MYRTALES","VOCHYSIACEAE",181632153,2020-07-15,"EN","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,"No",NA,"4","4",NA,"2",2,10,2,9,360,265,180,NA
NA,"Rinorea antioquiensis","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","VIOLACEAE",181634012,2020-07-15,"EN","3.1","B1ab(iii)","B1ab(iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,"No",NA,NA,"12",NA,"2",2,10,2,9,360,265,180,NA
NA,"Geissanthus callejasii","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","PRIMULACEAE",181636733,2020-07-15,"EN","3.1","B1ab(iii)","B1ab(iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,"No",NA,NA,"38",NA,"2",2,10,2,9,360,265,180,NA
NA,"Geissanthus goudotianus","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","PRIMULACEAE",181637163,2020-07-15,"EN","3.1","B1ab(iii)","B1ab(iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,"No",NA,NA,"37",NA,"2",2,10,2,9,360,265,180,NA
NA,"Viburnum axillare","TRACHEOPHYTA","MAGNOLIOPSIDA","DIPSACALES","VIBURNACEAE",181637919,2020-07-15,"EN","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,"No",NA,"8","8",NA,"2",2,10,2,9,360,265,180,NA
NA,"Clavija killipii","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","PRIMULACEAE",181639393,2020-07-15,"EN","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,"No",NA,"8","8",NA,"2",2,10,2,9,360,265,180,NA
NA,"Trichomycterus santanderensis","CHORDATA","ACTINOPTERYGII","SILURIFORMES","TRICHOMYCTERIDAE",181734444,2020-08-27,"CR","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4","200",NA,"1",4,10,1,9,360,265,360,NA
"Mano de Tigre","Oreopanax acerifolius","TRACHEOPHYTA","MAGNOLIOPSIDA","APIALES","ARALIACEAE",182973035,2020-07-30,"EN","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,"No",NA,"8","8",NA,"2",2,10,2,9,360,265,180,NA
NA,"Clavija grandis","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","PRIMULACEAE",182976638,2020-07-30,"EN","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,"No",NA,"8","8-1000",NA,"2",2,10,2,9,360,265,180,NA
"Parasiempre","Chloroleucon sempervivum","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE",182981638,2020-07-30,"EN","3.1","B1ab(iii,v)+2ab(iii,v)","B1ab(iii,v)+2ab(iii,v)","Extant","Native",1,"Decreasing","Yes","Yes",NA,NA,NA,"No",NA,"24","32",NA,"2",2,10,2,9,360,265,180,NA
NA,"Puya grantii","TRACHEOPHYTA","LILIOPSIDA","POALES","BROMELIACEAE",188830605,2018-11-21,"CR","3.1","B1ab(iii)","B1ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,NA,"41.867",NA,"3",4,10,1,9,360,265,360,NA
NA,"Pitcairnia woronowii","TRACHEOPHYTA","LILIOPSIDA","POALES","BROMELIACEAE",191069773,2019-11-18,"CR","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4",NA,NA,"1",4,10,1,9,360,265,360,NA
NA,"Pitcairnia macrobotrys","TRACHEOPHYTA","LILIOPSIDA","POALES","BROMELIACEAE",191070627,2019-11-19,"CR","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4",NA,NA,"1",4,10,1,9,360,265,360,NA
NA,"Pitcairnia jaramilloi","TRACHEOPHYTA","LILIOPSIDA","POALES","BROMELIACEAE",191070833,2019-11-18,"CR","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"8",NA,NA,"1",4,10,1,9,360,265,360,NA
NA,"Pitcairnia grubbiana","TRACHEOPHYTA","LILIOPSIDA","POALES","BROMELIACEAE",191071071,2019-11-19,"CR","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4",NA,NA,"1",4,10,1,9,360,265,360,NA
NA,"Pitcairnia fosteriana","TRACHEOPHYTA","LILIOPSIDA","POALES","BROMELIACEAE",191071384,2019-11-19,"CR","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"8",NA,NA,"2",4,10,1,9,360,265,360,NA
NA,"Pitcairnia arenicola","TRACHEOPHYTA","LILIOPSIDA","POALES","BROMELIACEAE",191071942,2019-11-18,"CR","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4",NA,NA,"1",4,10,1,9,360,265,360,NA
NA,"Mezobromelia bicolor","TRACHEOPHYTA","LILIOPSIDA","POALES","BROMELIACEAE",191073276,2019-11-20,"CR","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"8",NA,NA,"1",4,10,1,9,360,265,360,NA
NA,"Bromelia fragilis","TRACHEOPHYTA","LILIOPSIDA","POALES","BROMELIACEAE",191073600,2019-11-19,"CR","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4",NA,NA,"1",4,10,1,9,360,265,360,NA
NA,"Billbergia ambigua","TRACHEOPHYTA","LILIOPSIDA","POALES","BROMELIACEAE",191073706,2019-11-20,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"8","8",NA,"1",4,10,1,9,360,265,360,NA
NA,"Pitcairnia barrigae","TRACHEOPHYTA","LILIOPSIDA","POALES","BROMELIACEAE",191074314,2019-11-20,"CR","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4",NA,NA,"1",4,10,1,9,360,265,360,NA
NA,"Pitcairnia foreroi","TRACHEOPHYTA","LILIOPSIDA","POALES","BROMELIACEAE",191075263,2019-11-18,"CR","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4",NA,NA,"1",4,10,1,9,360,265,360,NA
NA,"Pitcairnia delicata","TRACHEOPHYTA","LILIOPSIDA","POALES","BROMELIACEAE",191075376,2019-11-18,"CR","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4",NA,NA,"1",4,10,1,9,360,265,360,NA
NA,"Pitcairnia altoatratoensis","TRACHEOPHYTA","LILIOPSIDA","POALES","BROMELIACEAE",191075677,2019-11-20,"CR","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4",NA,NA,"1",4,10,1,9,360,265,360,NA
NA,"Pitcairnia johannis","TRACHEOPHYTA","LILIOPSIDA","POALES","BROMELIACEAE",191078340,2019-11-19,"CR","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4",NA,NA,"1",4,10,1,9,360,265,360,NA
NA,"Pitcairnia occidentalis","TRACHEOPHYTA","LILIOPSIDA","POALES","BROMELIACEAE",191078868,2019-11-20,"CR","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4",NA,NA,"1",4,10,1,9,360,265,360,NA
NA,"Pitcairnia ramosii","TRACHEOPHYTA","LILIOPSIDA","POALES","BROMELIACEAE",191078990,2019-11-18,"CR","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"8",NA,NA,"1",4,10,1,9,360,265,360,NA
NA,"Ronnbergia subpetiolata","TRACHEOPHYTA","LILIOPSIDA","POALES","BROMELIACEAE",191079412,2019-11-19,"CR","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4",NA,NA,"1",4,10,1,9,360,265,360,NA
NA,"Ronnbergia viridispica","TRACHEOPHYTA","LILIOPSIDA","POALES","BROMELIACEAE",191079529,2019-11-20,"CR","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"8",NA,NA,"2",4,10,1,9,360,265,360,NA
NA,"Steyerbromelia naquenensis","TRACHEOPHYTA","LILIOPSIDA","POALES","BROMELIACEAE",191079646,2019-11-19,"CR","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"8",NA,NA,"1",4,10,1,9,360,265,360,NA
NA,"Tillandsia acuminata","TRACHEOPHYTA","LILIOPSIDA","POALES","BROMELIACEAE",191079860,2019-11-19,"CR","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4",NA,NA,"1",4,10,1,9,360,265,360,NA
NA,"Tillandsia brevior","TRACHEOPHYTA","LILIOPSIDA","POALES","BROMELIACEAE",191080072,2019-11-19,"CR","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"8",NA,NA,"1",4,10,1,9,360,265,360,NA
NA,"Tillandsia engleriana","TRACHEOPHYTA","LILIOPSIDA","POALES","BROMELIACEAE",191080185,2019-11-19,"CR","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4",NA,NA,"1",4,10,1,9,360,265,360,NA
NA,"Tillandsia excavata","TRACHEOPHYTA","LILIOPSIDA","POALES","BROMELIACEAE",191080303,2019-11-19,"CR","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4",NA,NA,"1",4,10,1,9,360,265,360,NA
NA,"Vriesea hodgei","TRACHEOPHYTA","LILIOPSIDA","POALES","BROMELIACEAE",191080755,2019-11-20,"CR","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4",NA,NA,"1",4,10,1,9,360,265,360,NA
NA,"Werauhia verrucosa","TRACHEOPHYTA","LILIOPSIDA","POALES","BROMELIACEAE",191081072,2019-11-19,"CR","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4",NA,NA,"1",4,10,1,9,360,265,360,NA
NA,"Aechmea baudoensis","TRACHEOPHYTA","LILIOPSIDA","POALES","BROMELIACEAE",191081286,2019-11-18,"CR","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4",NA,NA,"1",4,10,1,9,360,265,360,NA
