"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"31",NA,"Cycas multipinnata","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","CYCADACEAE",68906269,2020-04-09,"CR","3.1","A2acd+4acd","A2acd+4acd",2,"Decreasing","Yes","Yes",NA,NA,NA,"Yes",NA,"36","4233","150-250","3",4,5,10,8,1600,30,200,NA
"32",NA,"Cycas zeylanica","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","CYCADACEAE",243421803,2020-03-04,"CR","3.1","A2ac","A2ac",2,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"26824","150",NA,4,5,10,8,1600,30,200,NA
"33",NA,"Cycas szechuanensis","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","CYCADACEAE",260590101,2024-06-11,"CR","3.1","A2acd","A2acd",1,"Decreasing","Yes","Yes",NA,NA,"Unknown",NA,NA,"60","78250","2700","5",4,10,10,4,1600,30,400,NA
"34",NA,"Cycas collina","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","CYCADACEAE",67340335,2020-11-04,"CR","3.1","A2ace+4ace","A2ace+4ace",1,"Decreasing","Yes","Yes",NA,"Yes",NA,NA,NA,NA,"2000-2500",NA,NA,4,10,10,3,1200,34,400,NA
"35",NA,"Ceratozamia mexicana","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",243399122,2021-05-06,"CR","3.1","A2acd","A2acd",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,"Unknown",NA,"599",NA,NA,4,10,10,3,1200,34,400,NA
"36",NA,"Ceratozamia alvarezii","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",2959813,2020-06-02,"EN","3.1","A2acd; B1ab(i,iii,v)+2ab(i,iii,v); C1","A2acd; B1ab(i,iii,v)+2ab(i,iii,v); C1",1,"Decreasing","Yes","Yes",NA,"Yes",NA,NA,"Yes","8","16","600-1000","2",2,10,6,9,1080,36,180,NA
"37",NA,"Cycas aculeata","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","CYCADACEAE",67334346,2021-09-02,"EN","3.1","A2acde; B1ab(i,ii,iii,v)","A2acde; B1ab(i,ii,iii,v)",1,"Decreasing","Yes","Yes","No","Yes","Yes",NA,"Yes",NA,"50",NA,"2",2,10,6,9,1080,36,180,NA
"38",NA,"Zamia sandovalii","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",69837176,2020-05-27,"EN","3.1","A3cd; B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)","A3cd; B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",1,"Decreasing","Yes","Yes","Yes","Yes","Yes","Yes",NA,NA,"72","2300","5",2,10,6,9,1080,36,180,NA
"39",NA,"Dioon rzedowskii","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",243387089,2020-07-03,"EN","3.1","A2ac+4ac; B1ab(i,iii,iv,v)","A2ac+4ac; B1ab(i,iii,iv,v)",1,"Decreasing","Yes","Yes",NA,"Yes",NA,"Yes",NA,NA,"25-34","3000","2",2,10,6,9,1080,36,180,NA
"40",NA,"Zamia nana","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",243408163,2020-01-06,"EN","3.1","A2cd+4cd; B1ab(i,iii,v)","A2cd+4cd; B1ab(i,iii,v)",1,"Decreasing","Yes","Yes",NA,"Yes",NA,NA,"Yes",NA,"40","500-1000","2",2,10,6,9,1080,36,180,NA
"41",NA,"Cycas changjiangensis","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","CYCADACEAE",243416014,2020-12-18,"EN","3.1","A2acd+4acd; B1ab(iii,v)+2ab(iii,v)","A2acd+4acd; B1ab(iii,v)+2ab(iii,v)",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes","40","40","2000","3",2,10,6,9,1080,36,180,NA
"42",NA,"Ceratozamia mixeorum","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",243399870,2020-08-06,"EN","3.1","A2acd+4acd; B1ab(i,ii,iii,iv,v)","A2acd+4acd; B1ab(i,ii,iii,iv,v)",1,"Decreasing","Yes","Yes","Yes","Yes","Yes",NA,"Yes",NA,"89-800","8500","2-4",2,10,6,7,840,42,140,NA
"43",NA,"Cycas glauca","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","CYCADACEAE",68901750,2020-10-09,"CR","3.1","A2ac+4ace","A2ac+4ace",2,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,"2500-3000",NA,4,5,10,4,800,43,200,NA
"44","Escarpment Cycad","Encephalartos brevifoliolatus","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",243423919,2020-05-07,"EW","3.1",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0",8,1,10,10,800,43,80,NA
"45","Woolly Cycad","Encephalartos heenanii","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",243426977,2020-05-08,"EW","3.1",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0",8,1,10,10,800,43,80,NA
"46","Blue Cycad","Encephalartos nubimontanus","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",243431182,2020-08-06,"EW","3.1",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0",8,1,10,10,800,43,80,NA
"47",NA,"Encephalartos relictus","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",243432097,2020-05-13,"EW","3.1",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0",8,1,10,10,800,43,80,NA
"48","Wood's Cycad","Encephalartos woodii","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",243434007,2020-05-20,"EW","3.1",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0",8,1,10,10,800,43,80,NA
"49",NA,"Zamia pyrophylla","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",1829656,2020-06-26,"CR","3.1","B1ab(iii,v)","B1ab(iii,v)",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes",NA,"69",NA,"2",4,10,2,9,720,49,360,NA
