"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"57","Wilkins's Finch","Nesospiza wilkinsi","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE",200062503,2021-04-15,"CR","3.1","B1ab(ii,iii,v)+2ab(ii,iii,v); C2a(i,ii); D","B1ab(ii,iii,v)+2ab(ii,iii,v); C2a(i,ii); D",1,"Decreasing","Yes","Yes","Unknown","Unknown","Yes","Unknown","Yes","4","4","1-49","1",4,10,2,10,800,34,400,NA
"58","White-eyed River Martin","Eurochelidon sirintarae","CHORDATA","AVES","PASSERIFORMES","HIRUNDINIDAE",203170332,2021-06-28,"CR","3.1","D","D",1,"Decreasing","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"0-87","1-49",NA,4,10,2,10,800,34,400,NA
"59","Guam Kingfisher","Todiramphus cinnamominus","CHORDATA","AVES","CORACIIFORMES","ALCEDINIDAE",261269865,2024-06-18,"EW","3.1",NA,NA,1,NA,"No","Unknown",NA,"No","No","Unknown","No","0","0","0",NA,8,1,10,10,800,34,80,NA
"60","Hawaiian Crow","Corvus hawaiiensis","CHORDATA","AVES","PASSERIFORMES","CORVIDAE",261946059,2024-08-12,"EW","3.1",NA,NA,1,NA,"No","No",NA,"No","No","No","No","0","0","0",NA,8,1,10,10,800,34,80,NA
"61","Cone-billed Tanager","Conothraupis mesoleuca","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE",118846766,2017-10-01,"EN","3.1","A3c","A3c",1,"Decreasing","Yes","Yes","Unknown","Unknown","Unknown","Unknown","No",NA,"347000","250-999","3",2,10,6,6,720,61,120,NA
"62","Gorgeted Puffleg","Eriocnemis isabellae","CHORDATA","AVES","CAPRIMULGIFORMES","TROCHILIDAE",126225505,2018-08-07,"CR","3.1","B1ab(ii,iii,v)+2ab(ii,iii,v)","B1ab(ii,iii,v)+2ab(ii,iii,v)",1,"Decreasing","Yes","Yes","Unknown","Unknown","Yes","Unknown","No","9","44","250-999","1",4,10,2,9,720,61,360,NA
"63","Medium Tree-finch","Geospiza pauper","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE",130488958,2018-08-07,"CR","3.1","B1ab(v)","B1ab(v)",1,"Decreasing","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","23","30","600-1700","1",4,10,2,9,720,61,360,NA
"64","Djibouti Spurfowl","Pternistis ochropectus","CHORDATA","AVES","GALLIFORMES","PHASIANIDAE",130519228,2018-08-07,"CR","3.1","B2ab(i,ii,iii,v)","B2ab(i,ii,iii,v)",1,"Decreasing","Yes","Yes","Unknown","Yes","Yes","Unknown","Yes","1","1400","200-500",NA,4,10,2,9,720,61,360,NA
"65","Short-crested Coquette","Lophornis brachylophus","CHORDATA","AVES","CAPRIMULGIFORMES","TROCHILIDAE",130649157,2018-08-07,"CR","3.1","B1ab(i,ii,iii,v)","B1ab(i,ii,iii,v)",1,"Decreasing","Yes","Yes","Unknown","Yes","Yes","Unknown","No",NA,"70","250-999","1",4,10,2,9,720,61,360,NA
"66","Rapa Fruit-dove","Ptilinopus huttoni","CHORDATA","AVES","COLUMBIFORMES","COLUMBIDAE",131333951,2018-08-07,"CR","3.1","C2a(ii)","C2a(ii)",1,"Decreasing","Yes","Yes","Yes","Unknown","Unknown","No","Yes",NA,"30","50-249","2-5",4,10,2,9,720,61,360,NA
"67","Rapa Shearwater","Puffinus myrtae","CHORDATA","AVES","PROCELLARIIFORMES","PROCELLARIIDAE",132468877,2018-08-07,"CR","3.1","C2a(ii)","C2a(ii)",1,"Decreasing","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Yes","0.5","126000","50-249","4",4,10,2,9,720,61,360,NA
